District,U/R,CPN,Discp.
S.B.ABAD,R,74.92699999999999,CH
S.B.ABAD,R,74.911,TL
S.B.ABAD,R,74.492,TL
S.B.ABAD,R,74.03,CE-K
S.B.ABAD,R,73.266,EL-K
S.B.ABAD,R,72.744,MN
S.B.ABAD,R,71.757,TL
S.B.ABAD,R,71.505,CE-K
S.B.ABAD,R,71.21,PG
S.B.ABAD,R,70.72,EL-K
S.B.ABAD,R,70.583,EE
S.B.ABAD,R,70.426,PG-K
S.B.ABAD,R,70.07600000000001,EL-K
S.B.ABAD,R,69.81,AR
S.B.ABAD,R,69.64399999999999,MN
S.B.ABAD,R,69.571,ME-K
S.B.ABAD,R,69.515,ME-K
S.B.ABAD,R,69.509,IN
S.B.ABAD,R,69.38600000000001,ES-K
S.B.ABAD,R,69.28399999999999,ES-K
S.B.ABAD,R,67.933,TE
S.B.ABAD,R,67.747,IN
S.B.ABAD,R,67.55,CRP
S.B.ABAD,R,67.541,PG-K
S.B.ABAD,R,67.493,PG-K
S.B.ABAD,R,67.492,PG-K
S.B.ABAD,R,67.242,CRP
S.B.ABAD,R,67.098,SW-K
S.B.ABAD,R,66.885,BM
S.B.ABAD,R,66.78399999999999,MT
S.B.ABAD,R,66.676,SW-K
SANGHAR,U,78.617,EL
SANGHAR,U,77.828,SW
SANGHAR,U,76.842,SW
SANGHAR,U,74.60600000000001,ME
SANGHAR,U,72.971,ME
SANGHAR,U,72.165,EL
SANGHAR,U,70.3,SW
SANGHAR,U,69.042,SW
SANGHAR,U,68.757,CS
SANGHAR,U,68.145,CS
SANGHAR,U,67.955,SW
SANGHAR,U,67.555,ES
SANGHAR,U,66.809,MTE
SANGHAR,U,66.52199999999999,PG
SANGHAR,U,65.271,CE-K
SANGHAR,R,80.65100000000001,EL
SANGHAR,R,77.465,BM
SANGHAR,R,76.22,CE
SANGHAR,R,75.53399999999999,EL
SANGHAR,R,73.78399999999999,ME
SANGHAR,R,73.712,ES
SANGHAR,R,73.695,CE
SANGHAR,R,72.959,ME
SANGHAR,R,72.666,BM
SANGHAR,R,72.586,ME
SANGHAR,R,72.449,EL
SANGHAR,R,71.624,EL
SANGHAR,R,71.472,CE
SANGHAR,R,71.10300000000001,CE
SANGHAR,R,70.31,CE
SANGHAR,R,70.09,PG
SANGHAR,R,69.645,CE
SANGHAR,R,69.584,CE
