District,U/R,CPN,Discp.
S.B.Abad,R,70.720,EL-K
S.B.Abad,R,70.583,EE
S.B.Abad,R,70.426,PG-K
S.B.Abad,R,70.076,EL-K
S.B.Abad,R,69.810,AR
S.B.Abad,R,69.644,MN
S.B.Abad,R,69.571,ME-K
S.B.Abad,R,69.515,ME-K
S.B.Abad,R,69.509,IN
S.B.Abad,R,69.386,ES-K
S.B.Abad,R,69.284,ES-K
S.B.Abad,R,67.933,TE
S.B.Abad,R,67.747,IN
S.B.Abad,R,67.678,MT-P
S.B.Abad,R,67.550,CRP
S.B.Abad,R,67.541,PG-K
S.B.Abad,R,67.493,PG-K
S.B.Abad,R,67.492,PG-K
S.B.Abad,R,67.242,CRP
S.B.Abad,R,67.098,SW-K
S.B.Abad,R,66.885,BM
S.B.Abad,R,66.784,MT
S.B.Abad,R,66.676,SW-K
Sanghar,U,78.617,El
Sanghar,U,77.828,SW
Sanghar,U,76.842,SW
Sanghar,U,74.606,ME
Sanghar,U,72.971,ME
Sanghar,U,72.165,EL
Sanghar,U,70.300,SW
Sanghar,U,69.042,SW
Sanghar,U,68.757,CS
Sanghar,U,68.145,CS
Sanghar,U,67.955,SW
Sanghar,U,67.555,ES
Sanghar,U,66.809,MTE
Sanghar,U,66.522,PG
Sanghar,U,65.271,CE-K
Sanghar,R,80.651,EL
Sanghar,R,77.465,BM
Sanghar,R,76.220,CE
Sanghar,R,75.534,El
Sanghar,R,73.784,ME
Sanghar,R,73.712,ES
Sanghar,R,73.695,CE
Sanghar,R,72.959,ME
Sanghar,R,72.666,BM
Sanghar,R,72.586,ME
Sanghar,R,72.449,El
Sanghar,R,71.624,El
Sanghar,R,71.472,CE
Sanghar,R,71.103,CE
Sanghar,R,70.310,CE
Sanghar,R,70.090,PG
Sanghar,R,69.645,CE
Sanghar,R,69.584,CE
Sanghar,R,69.574,EL
Sanghar,R,69.403,ES
Sanghar,R,69.348,ME
Sanghar,R,69.294,EL
Sanghar,R,69.182,ME
Sanghar,R,69.068,MTE
Sanghar,R,69.053,SW
Sanghar,R,68.565,ME
Sanghar,R,68.492,ES
Sanghar,R,68.209,AR
Sanghar,R,68.121,CH
Sanghar,R,68.118,EL-K
Sanghar,R,68.096,CH
Sanghar,R,67.879,CS
Sanghar,R,67.347,SW
Sanghar,R,67.276,CH
Sanghar,R,67.197,PG
Sanghar,R,67.156,ES
Sanghar,R,67.095,ES
Sanghar,R,66.926,MTE
Sanghar,R,66.828,CS
Sanghar,R,66.686,PG
Sanghar,R,66.645,CS
Sanghar,R,66.542,CS
Sanghar,R,66.493,AR
Sanghar,R,66.366,TL
